,lmp_node,matched_source_sink,match_score
2214,EAI LR_PIN T1,EAI.NLR_1.AZ,64
2215,ALTE SWDELAVA SOD_6115LD,ALTE.SFONDDLG4,53
2216,CIN LILYJ1 PSI_6962D,CIN.PSI.LMU,58
2217,CONS ALMPD ALMPD_T1,AMIL.BALDT1.NU,61
2218,MEC AIRPTSPC SPC8T1,AMIL.PSG1.MEUC,55
2219,NSP CORNELL2 CORNEL1,NSP.CORNEL,67
2220,DPC LUBLPUMP LUBLPU1,OTP.RUGBY1UMMP,47
2221,EAI T_E_MC T_E_MC_LOAD,SME.SME_LOAD,53
2222,MGE EASTCAMP ECA_TR1,SIGE.CANL1.AMP,59
2223,ALTW FALEYY FALEYY1,ALTW.HAWKEYE1,62
2224,CIN HUNTIPSI BK3,CIN.HE.PSI,62
2225,ALTW LAKEFLD G164_LD1,ALTW.LKFLD.IPL,69
2226,WPS 1STAVE FAV_T2,WPS.FOX_CT2,57
2227,AMMO TOT CHARMIN_2,AMMO.HANN.LD,60
2228,CONS PARNL PARNL_T1,CONS.POLARIS1,62
2229,EES DRU T2,EES.MORTN2.ARR,67
2230,ALTW PLUMCRK LD_1,ALTW.UPLANDPR,60
2231,DECO SPKNE ROCHRSPKNE_1,DECO.RRP11,55
2232,SIPC YELLBNKS LD11,NIPS.HWND1.IPL,50
2233,CONS CLDBK CLDBK_T2,CONS.CCG_2.AZ,56
2234,AMIL 2ROODHSE 2ROODHSE,EAI.CROSSETT,47
2235,EMBA MARKS T2,EMBA.PRVS,64
2236,MP BOS_230 BOS3_SS_MP,MP.BOS233,53
2237,OTP MN_PIPE TR2,OTP.MPC.YNG2,59
2238,DECO 1009_TP ACME1009_TP1,DECO.CMSM_1.AZ,51
2239,CONS LAGRV LAGRV_T2,CONS.GRATIOT2,62
2240,AMIL LITCHFI0 LITC_3329,AMIL.REI2CTGH,50
2241,ALTW KTYHYHWK CL1,ALTW.ALTW,62
2242,NIPS NEVADMLS NEVADA_MLS,NIPS.CAVALRYSF,53
2243,WPS MISHICOT MISHICOT1381,WPS.WESTON13,49
2244,AMIL JACK CHAPIN,AMIL.CONC,64
2245,AMIL CLRLK_34 34_5,AMIL.CHEL,52
2246,ALTE SHAWANO0 SHO_T51,ALTE.TOWNEST11,57
2247,CIN STAUTON A,CIN.GIBSON.4,64
2248,DECO OKRDG_TP FIC,DECO.DIGSINT,55
2249,DPC BROWNSDP BROWNS1,NSP.BSTAR1.WND,53
2250,EMBA BLZONI T2,OTP.MDU.BSTON1,50
2251,CONS HERBK HERBK_T1,CONS.EXGNBB1,58
2252,NSP SALEMSD TR1,NSP.SHERCO1,62
2253,WEC BUTTEDES 5130,WEC.BUTRIDGE1,60
2254,NSP RAMSY RAMSY2,NSP.RIVRSD72,57
2255,EES LEESV3 T2,EES.JWL_ST2,67
2256,NSP SKYPARK SKYPARK1,NSP.NSTARSOLAR,59
2257,NSP WASECMUN WASECM1,NSP.SHERC1.SLR,59
2258,NIPS SUMMTREE NO_1_XFMR,NIPS.NORWAPNOR,49
2259,EES PINEST T1,EES.NINEM6_ST,69
